#  GBr_GRr          G           Gapp
    0.896147      13.5907      19.2522 
     2.54601      11.4069      17.0685 
      3.1641       12.016      17.6776 
     0.71807      4.14495      9.80654 
     2.87268      12.8557      18.5173 
     2.81709      10.5392      16.2008 
    0.996192      5.16182      10.8234 
      3.1653      11.4818      17.1434 
     1.55218      6.42571      12.0873 
     2.60382      10.7662      16.4278 
     2.83113      10.4392      16.1008 
     2.85706      11.6652      17.3268 
     2.99149      11.3711      17.0327 
  -0.0773258    -0.248377      5.41321 
     1.32321      6.54638       12.208 
     1.87905      12.6533      18.3149 
     1.71652      6.47441       12.136 
    0.141027      1.67749      7.33908 
    0.544425      3.21897      8.88056 
     2.22493      8.96656      14.6281 
     2.30042      11.1419      16.8035 
       2.645      10.5743      16.2358 
     2.97944       12.225      17.8865 
     2.45306      11.1602      16.8218 
     2.94058      10.2825      15.9441 
     2.59286      9.75893      15.4205 
     2.91745      10.8899      16.5515 
      1.8217      13.2059      18.8675 
     1.01273       5.4437      11.1053 
     2.79959      11.5713      17.2329 
     2.96855      11.8177      17.4793 
  -0.0374112    -0.234938      5.42665 
     2.43833      9.54645       15.208 
     1.75829      12.0629      17.7245 
     1.02009      5.52862      11.1902 
      2.7628      10.8274       16.489 
     1.60622      7.36701      13.0286 
     2.83785      13.2486      18.9102 
    0.930174      4.73894      10.4005 
      2.8628        11.55      17.2116 
     3.10774       12.134      17.7956 
     2.22136      8.67842        14.34 
     2.66455      12.4736      18.1352 
     2.82634       10.949      16.6106 
     2.50948      8.78818      14.4498 
     1.28035      5.21037       10.872 
     2.96149      12.1463      17.8079 
     1.82657      8.03238       13.694 
     1.02284      5.50316      11.1648 
    0.742942        3.872      9.53359 
     2.69822      10.4943      16.1559 
     1.75056       7.5086      13.1702 
     2.68236      11.0583      16.7199 
    0.838449      4.61217      10.2738 
     2.09729      8.52411      14.1857 
     2.90739      10.6536      16.3152 
     3.08825      11.9238      17.5854 
     2.03919      12.5991      18.2607 
     2.70125      10.0204       15.682 
     2.37216      9.37081      15.0324 
     2.67147      10.0822      15.7438 
     1.02693      9.61862      15.2802 
     1.07037      5.54756      11.2092 
     2.50525      9.54234      15.2039 
     3.07556        11.75      17.4116 
     2.91189      10.7045      16.3661 
     3.06692      10.8523      16.5139 
     1.34068      13.2135      18.8751 
     2.49494      9.17402      14.8356 
     3.06689      11.7514       17.413 
     2.95905      10.7387      16.4003 
     2.72501       11.509      17.1706 
     3.07725      13.6661      19.3277 
     3.18841      11.8193      17.4809 
     2.72172      9.32716      14.9887 
