# WOCS    Vmag     BmV     VmR     VmI    Vmag1   BmV1    Vmag2   BmV2    Vmag3   BmV3    Jmag    JmKs    A74  S72     _RA        _DE   
076004  16.390   0.721   0.410   0.854  16.404   0.724  16.400   0.728  16.429   0.710  14.911   0.308   354  999  295.35837  +40.20803
078004  16.396   0.684   0.352   0.774  16.432   0.683  99.999  99.999  99.999  99.999  14.726   0.383   567  999  295.35950  +40.17994
080004  16.431   0.672   0.363   0.780  16.446   0.664  16.432   0.660  16.476   0.650  15.101   0.268   442  999  295.35821  +40.19772
081004  16.480   0.676   0.361   0.797  16.497   0.683  16.493   0.662  16.521   0.669  99.999  99.999   352  999  295.35483  +40.20919
001005  99.999  99.999  99.999  99.999  11.584   1.666  11.570   1.702  99.999  99.999   7.878   1.127   970   83  295.29937  +40.22503
003005  13.078   1.230   0.652   1.248  13.079   1.229  13.065   1.238  99.999  99.999  10.922   0.715   984  148  295.37308  +40.20583
004005  13.072   1.210   0.617   1.241  13.082   1.194  13.078   1.214  99.999  99.999  10.939   0.689   988  128  295.33950  +40.23258
005005  13.097   1.209   0.602   1.222  13.120   1.191  13.122   1.218  99.999  99.999  10.990   0.678   987   74  295.28579  +40.22497
006005  13.701   1.287   0.690   1.362  13.751   1.266  13.744   1.276  99.999  99.999  11.353   0.809   525   71  295.28446  +40.17725
007005  14.057   1.135   0.607   1.177  14.081   1.133  14.073   1.134  99.999  99.999  12.008   0.668   490   65  295.27592  +40.18147
008005  14.091   1.045   0.573   1.117  14.102   1.050  14.101   1.058  14.161   1.018  12.157   0.569   684  999  295.32996  +40.15914
009005  14.098   0.522   0.272   0.610  14.117   0.504  14.106   0.510  14.144   0.494  13.075   0.275   996  146  295.36758  +40.21514
010005  14.225   0.437   0.203   0.457  14.269   0.419  14.264   0.416  14.280   0.419  13.061  99.999   522   68  295.27762  +40.17511
011005  14.512   0.688   0.395   0.815  14.546   0.679  14.528   0.690  14.581   0.684  13.167   0.391   682  999  295.32904  +40.16250
012005  14.664   1.300   0.703   1.323  14.666   1.308  14.641   1.331  14.677   1.309  12.335   0.738   685  114  295.33650  +40.15839
014005  14.665   0.636   0.350   0.745  14.696   0.609  14.667   0.624  14.710   0.615  13.355   0.333   377  999  295.36929  +40.19936
015005  14.694   1.102   0.595   1.169  14.708   1.100  14.705   1.087  14.729   1.102  12.622   0.619   675  999  295.30667  +40.15944
016005  14.698   0.606   0.323   0.716  14.733   0.607  14.735   0.614  14.754   0.616  13.514   0.361   288  999  295.28542  +40.21528
017005  14.799   0.684   0.371   0.794  14.822   0.660  14.826   0.684  14.841   0.683  13.492   0.358   187  999  295.30354  +40.23308
018005  14.894   0.633   0.334   0.742  14.925   0.616  14.928   0.634  14.947   0.623  13.688   0.362   226  999  295.28908  +40.21953
019005  15.102   0.633   0.358   0.743  15.117   0.620  15.092   0.622  15.147   0.618  13.846   0.409   445  999  295.37475  +40.19247
020005  15.115   0.635   0.365   0.744  15.136   0.634  15.123   0.619  15.164   0.621  13.848   0.347   568  999  295.36667  +40.17850
022005  15.150   0.649   0.373   0.780  15.173   0.634  15.171   0.646  15.195   0.631  13.155  99.999   521  999  295.27783  +40.17419
023005  15.181   0.602   0.356   0.716  15.209   0.600  15.170   0.605  15.203   0.613  13.833   0.252  4211  999  295.27492  +40.19508
024005  15.243   0.639   0.371   0.762  15.240   0.634  15.227   0.645  15.270   0.620  13.928   0.303   266  999  295.36012  +40.21728
025005  15.232   0.611   0.336   0.729  15.267   0.608  15.273   0.625  15.291   0.617  14.020   0.224   292  999  295.27437  +40.20842
026005  15.254   0.625   0.370   0.754  14.895   0.638  99.999  99.999  99.999  99.999  13.075   0.228   491  999  295.27421  +40.18089
027005  15.326   0.606   0.352   0.735  15.356   0.603  15.340   0.615  15.393   0.602  14.082   0.303   683  999  295.33221  +40.16186
028005  15.341   0.598   0.341   0.703  15.367   0.585  15.352   0.584  15.377   0.591  15.073   1.319   465  999  295.36654  +40.18931
029005  15.335   0.601   0.346   0.718  15.370   0.595  15.359   0.605  15.382   0.610  14.125   0.267   524  999  295.28183  +40.17503
031005  15.465   0.590   0.317   0.707  15.481   0.584  15.472   0.608  99.999  99.999  99.999  99.999   229  999  295.29542  +40.22444
032005  15.455   0.610   0.338   0.722  15.491   0.605  15.490   0.610  15.507   0.613  14.284   0.283   627  999  295.29100  +40.16642
033005  15.505   0.661   0.373   0.806  15.520   0.663  15.517   0.651  15.543   0.658  14.158   0.313   151  999  295.33442  +40.23697
034005  15.479   0.621   0.367   0.754  15.520   0.641  15.467   0.641  15.519   0.643  14.109   0.296   680  999  295.32258  +40.16253
035005  15.503   0.591   0.317   0.720  15.528   0.608  15.538   0.588  15.560   0.595  14.339   0.338   320  999  295.27783  +40.20214
036005  15.513   0.578   0.327   0.704  15.540   0.567  15.540   0.579  15.559   0.575  14.356   0.231   290  999  295.27992  +40.21375
039005  15.648   0.607   0.350   0.732  15.671   0.612  15.663   0.621  15.691   0.619  14.442   0.428   679  999  295.31442  +40.15903
041005  15.762   0.585   0.351   0.721  15.766   0.592  15.747   0.602  15.798   0.582  14.550   0.387   358  999  295.37117  +40.21353
044005  15.806   0.621   0.336   0.753  15.835   0.595  15.825   0.615  15.860   0.598  14.576   0.262   242  999  295.35192  +40.22217
056005  16.124   0.681   0.367   0.805  16.142   0.677  16.143   0.664  16.169   0.669  14.751   0.432   321  999  295.27979  +40.20381
057005  16.166   0.656   0.347   0.771  16.183   0.659  16.173   0.642  16.219   0.641  14.888   0.355   593  999  295.34937  +40.16428
058005  16.169   0.758   0.437   0.903  16.185   0.768  16.190   0.771  16.221   0.761  14.718   0.545   182  999  295.32433  +40.23242
069005  16.350   0.730   0.429   0.826  16.370   0.715  16.356   0.737  16.378   0.728  14.988   0.297   228  999  295.29096  +40.22186
072005  16.431   0.670   0.359   0.782  16.446   0.658  16.463   0.653  16.466   0.672  15.087   0.318   184  999  295.31121  +40.23642
001006  99.999  99.999  99.999  99.999  12.842   1.109  12.833   1.109  99.999  99.999  10.843   0.637   740  111  295.32400  +40.15442
002006  13.099   1.210   0.591   1.213  13.122   1.187  13.106   1.208  99.999  99.999  10.973   0.668   985  150  295.37146  +40.21781
003006  13.329   0.664   0.359   0.741  13.353   0.670  13.356   0.677  99.999  99.999  12.085   0.387   994  999  295.33046  +40.24217
004006  13.509   0.572   0.273   0.613  13.535   0.535  13.545   0.533  99.999  99.999  12.484   0.258   670   72  295.28712  +40.15919
005006  13.821   0.473   0.230   0.530  13.847   0.463  13.842   0.454  99.999  99.999  12.848   0.252   995  149  295.37079  +40.22097
006006  13.834   1.179   0.596   1.170  13.851   1.162  13.845   1.187  99.999  99.999  11.782   0.672   181  139  295.35758  +40.23094
008006  14.182   1.534   0.818   1.593  14.196   1.489  14.194   1.511  14.206   1.501  11.432   0.945   671  999  295.29133  +40.15881
009006  14.196   0.848   0.448   0.881  14.213   0.866  14.194   0.868  14.232   0.857  12.710   0.437   691  999  295.35562  +40.15483
011006  14.475   0.735   0.439   0.850  14.501   0.742  14.507   0.750  14.523   0.757  13.016   0.393   520   67  295.27742  +40.17211
012006  14.829   0.666   0.371   0.784  14.836   0.657  14.837   0.658  14.866   0.638  13.526   0.343   157  999  295.35392  +40.23683
013006  14.848   0.648   0.391   0.775  14.860   0.660  14.849   0.667  99.999  99.999  13.533   0.327   738  999  295.32646  +40.14650
014006  14.868   0.684   0.376   0.805  14.883   0.668  14.872   0.679  14.913   0.672  13.505   0.361   263  999  295.38054  +40.21944
015006  14.875   0.781   0.420   0.831  14.885   0.781  14.882   0.787  14.914   0.780  13.442   0.445   150  999  295.32342  +40.24161
016006  14.878   0.671   0.398   0.822  14.893   0.690  14.896   0.693  14.920   0.684  13.502   0.379   742  999  295.31087  +40.15347
017006  14.848   0.603   0.307   0.669  14.903   0.557  14.778   0.588  14.874   0.576  13.500   0.290   669  999  295.27858  +40.16292
018006  14.908   0.660   0.349   0.777  14.933   0.654  14.920   0.654  14.960   0.645  13.637   0.347   689  999  295.34629  +40.15192
019006  14.972   0.648   0.374   0.802  14.968   0.650  14.964   0.658  15.009   0.640  13.660   0.322   264  999  295.37679  +40.22042
021006  15.043   0.606   0.351   0.714  15.073   0.598  15.075   0.604  15.093   0.617  13.796   0.299   223  999  295.26450  +40.21500
022006  15.052   0.615   0.321   0.728  15.083   0.599  15.033   0.683  15.093   0.597  13.616   0.304   694  999  295.35692  +40.15992
